course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
Diploma of Business Administration,Undergraduate,,Diploma,University of Southern Queensland,1 year,Business & Management,Fraser Coast QLD
Diploma of Business Administration,Undergraduate,,Diploma,University of Southern Queensland,1 year,Business & Management,SPRINGFIELD QLD
Diploma of Business Administration,Undergraduate,,Diploma,University of Southern Queensland,1 year,Business & Management,DISTANCE EDUCATION
Diploma of Business Foundations,Undergraduate,N/A,Advanced Diploma,University of Southern Queensland,1 year,Business & Management n.e.c.,DISTANCE EDUCATION
Diploma of Business Informatics,Undergraduate,60.00,Diploma,University of Canberra,1 year,Systems Analysis and Design,Bruce ACT
Diploma of Business Informatics (Extended),Undergraduate,60.00,Diploma,University of Canberra,1.5 years,Systems Analysis and Design,Bruce ACT
Diploma of Commerce,Undergraduate,N/A,Diploma,RMIT University,1 year,Management & Commerce n.e.c.,City Campus VIC
Diploma of Communication,Undergraduate,N/A,Post-course - legal,Bond University,1 year,Communication & Media Studies n.e.c.,Bond University QLD
Diploma of Communication,Undergraduate,60.00,Diploma,University of Canberra,1 year,Communication & Media Studies n.e.c.,Bruce ACT
Diploma of Communication (Extended),Undergraduate,60.00,Diploma,University of Canberra,1.5 years,Communication & Media Studies n.e.c.,Bruce ACT
Diploma of Community Welfare and Development,Undergraduate,,Diploma,University of Southern Queensland,1 year,Human Welfare Studies & Services n.e.c.,TOOWOOMBA QLD
Diploma of Community Welfare and Development,Undergraduate,,Diploma,University of Southern Queensland,1 year,Human Welfare Studies & Services n.e.c.,Fraser Coast QLD
Diploma of Community Welfare and Development,Undergraduate,,Diploma,University of Southern Queensland,1 year,Human Welfare Studies & Services n.e.c.,SPRINGFIELD QLD
Diploma of Community Welfare and Development,Undergraduate,,Diploma,University of Southern Queensland,1 year,Human Welfare Studies & Services n.e.c.,DISTANCE EDUCATION
DIPLOMA OF CREATIVE AND INDIGENOUS WRITING,Undergraduate,N/A,Diploma,Charles Darwin University,1 year,Creative Arts n.e.c.,CASUARINA NT
DIPLOMA OF CREATIVE AND INDIGENOUS WRITING,Undergraduate,N/A,Diploma,Charles Darwin University,1 year,Creative Arts n.e.c.,DPC ALICE SPRINGS NT
DIPLOMA OF CREATIVE AND INDIGENOUS WRITING,Undergraduate,N/A,Diploma,Charles Darwin University,1 year,Creative Arts n.e.c.,DISTANCE EDUCATION
Diploma of Creative Arts,Undergraduate,50.00,Diploma,James Cook University,1 year,Fine Arts,Townsville QLD
Diploma of Creative Arts,Undergraduate,50.00,Diploma,James Cook University,1 year,Fine Arts,Cairns QLD
Diploma of Creative Arts Foundations,Undergraduate,N/A,Advanced Diploma,University of Southern Queensland,1 year,Other Education ,DISTANCE EDUCATION
DIPLOMA OF CREATIVE INDUSTRIES,Undergraduate,N/A,Diploma,Victoria University,1 year,Creative Arts n.e.c.,St Albans VIC
Master of Social Work,Postgraduate,,Master's by coursework,La Trobe University,2.3 years,Social Work,MILDURA VIC
Master of Social Work,Postgraduate,,Master's by coursework,Monash University,1 year,Social Work,Distance Education
Master of Social Work,Postgraduate,,Master's by coursework,Queensland University of Technology,2 years,Social Work,KELVIN GROVE QLD
Master of Social Work,Postgraduate,,Master's by coursework,RMIT University,2 years,Social Work,City Campus VIC
Master of Social Work,Postgraduate,,Master's by coursework,The University of Melbourne,2.3 years,Social Work,PARKVILLE VIC
Master of Social Work,Postgraduate,,Master's by coursework,The University of Sydney,1 year,Social Work,Camperdown NSW
Master of Social Work,Postgraduate,,Master's by coursework,The University of Western Australia,2 years,Social Work,CRAWLEY WA
Master of Social Work,Postgraduate,,Master's by coursework,University of South Australia,2 years,Social Work,Magill SA
Master of Social Work (Advanced Practice),Postgraduate,,Master's by coursework,Charles Sturt University,1 year,Social Work,Distance Education
Master of Social Work (Advanced Practice) (R7H),Postgraduate,,Master's by coursework,University of Tasmania,3 years,Social Work,Launceston TAS
Master of Social Work (Forensic Studies),Postgraduate,,Master's by coursework,Monash University,1 year,Social Work,Distance Education
Master of Social Work (Graduate Entry),Postgraduate,,Master's by coursework,Flinders University,2 years,Social Work,Adelaide at Bedford Park SA
Master of Social Work (Graduate Entry),Postgraduate,,Master's by coursework,Flinders University,2 years,Social Work,Distance Education
Master of Social Work (Honours),Postgraduate,,Master's by coursework,La Trobe University,2.8 years,Social Work,BUNDOORA VIC
Master of Social Work (Honours),Postgraduate,,Master's by coursework,La Trobe University,2.8 years,Social Work,ALBURY-WODONGA VIC
Master of Social Work (Honours),Postgraduate,,Master's by coursework,La Trobe University,2.8 years,Social Work,MILDURA VIC
Master of Social Work (Honours),Postgraduate,,Master's by coursework,La Trobe University,2.8 years,Social Work,BENDIGO VIC
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Social Work,Wagga Wagga NSW
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Social Work,Distance Education
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,James Cook University,2 years,Social Work,Townsville QLD
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,James Cook University,2 years,Social Work,Cairns QLD
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,James Cook University,2 years,Social Work,Mackay QLD
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,James Cook University,2 years,Social Work,Distance Education
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,Southern Cross University,2 years,Social Work,Gold Coast QLD
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,Southern Cross University,2 years,Social Work,Distance Education
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,University of New England,2 years,Social Work,Armidale NSW
Master of Social Work (Professional Qualifying),Postgraduate,,Master's by coursework,University of New England,2 years,Social Work,Distance Education
Master of Social Work (Qualifying),Postgraduate,,Master's by coursework,Monash University,2 years,Social Work,CAULFIELD VIC
Master of Social Work (Qualifying),Postgraduate,,Master's by coursework,Monash University,2 years,Social Work,Distance Education
Master of Social Work (Qualifying),Postgraduate,,Master's by coursework,The University of Sydney,2 years,Social Work,Camperdown NSW
Master of Social Work (Qualifying),Postgraduate,,Master's by coursework,University of the Sunshine Coast,2 years,Social Work,Sippy Downs QLD
Master of Social Work (R7N),Postgraduate,,Master's by coursework,University of Tasmania,2 years,Social Work,Launceston TAS
Master of Social Work (R7N),Postgraduate,,Master's by coursework,University of Tasmania,2 years,Social Work,Burnie TAS
Master of Social Work (R7N),Postgraduate,,Master's by coursework,University of Tasmania,2 years,Social Work,Hobart TAS
Master of Social Work (Registered Social Worker Entry),Postgraduate,,Master's by coursework,Flinders University,2 years,Social Work,Adelaide at Bedford Park SA
Master of Social Work (Registered Social Worker Entry),Postgraduate,,Master's by coursework,Flinders University,2 years,Social Work,Distance Education
Master of Software Engineering,Postgraduate,,Master's by coursework,The Australian National University,1 year,Computer Engineering,Acton ACT
Master of Spatial Information,Postgraduate,,Master's by coursework,University of New South Wales,1 year,Geomatic Engineering n.e.c.,Sydney NSW
Master of Spatial Information Science,Postgraduate,,Master's by coursework,The University of Melbourne,2 years,Engineering & Related Technologies n.e.c.,PARKVILLE VIC
"Master of Spatial Planning, Management and Design",Postgraduate,,Master's by coursework,La Trobe University,2 years,Urban Design & Regional Planning,BENDIGO VIC
Master of Spatial Science Technology,Postgraduate,,Master's by coursework,University of Southern Queensland,1.5 years,Geomatic Engineering,TOOWOOMBA QLD
Master of Spatial Science Technology,Postgraduate,,Master's by coursework,University of Southern Queensland,1.5 years,Geomatic Engineering,DISTANCE EDUCATION
Master of Special Education,Postgraduate,,Master's by coursework,Federation University Australia,2 years,Teacher Education: Special Education,Mt Helen VIC
Master of Special Education,Postgraduate,,Master's by coursework,Griffith University,1 year,Teacher Education: Special Education,Distance Education
Master of Special Education,Postgraduate,,Master's by coursework,La Trobe University,1 year,Teacher Education: Special Education,BENDIGO VIC
Master of Special Education,Postgraduate,,Master's by coursework,Macquarie University,1 year,Teacher Education: Special Education,Macquarie University NSW
Master of Special Education,Postgraduate,,Master's by coursework,University of Newcastle,1 year,Teacher Education: Special Education,Distance Education
Master of Special Education,Postgraduate,,Master's by coursework,University of Western Sydney,1 year,Teacher Education: Special Education,PENRITH CAMPUS NSW
Master of Special Education,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Teacher Education: Special Education,Wollongong NSW
Master of Speech and Language Pathology,Postgraduate,,Master's by coursework,Macquarie University,2 years,Speech Pathology,Macquarie University NSW
Master of Speech Language Pathology,Postgraduate,,Master's by coursework,The University of Sydney,2 years,Speech Pathology,Lidcombe NSW
Master of Speech Pathology,Postgraduate,,Master's by coursework,Charles Sturt University,2 years,Speech Pathology,Distance Education
Master of Speech Pathology,Postgraduate,,Master's by coursework,Curtin University of Technology,2 years,Speech Pathology,Bentley Campus WA
Master of Speech Pathology,Postgraduate,,Master's by coursework,Flinders University,2 years,Speech Pathology,Adelaide at Bedford Park SA
Master of Speech Pathology,Postgraduate,,Master's by coursework,Griffith University,2 years,Speech Pathology,Gold Coast QLD
Master of Speech Pathology,Postgraduate,,Master's by coursework,La Trobe University,2 years,Speech Pathology,BENDIGO VIC
Master of Speech Pathology,Postgraduate,,Master's by coursework,La Trobe University,2 years,Speech Pathology,BUNDOORA VIC
Master of Speech Pathology,Postgraduate,,Master's by coursework,The University of Melbourne,2 years,Speech Pathology,PARKVILLE VIC
Master of Sports Physiotherapy,Postgraduate,,Master's by coursework,La Trobe University,1 year,Physiotherapy,BUNDOORA VIC
Master of Sports Physiotherapy & Master of Musculoskeletal Physiotherapy,Postgraduate,,Master's by coursework,La Trobe University,1.6 years,Physiotherapy,BUNDOORA VIC
Master of Statistical Science,Postgraduate,,Master's by coursework,La Trobe University,2 years,Statistics,BUNDOORA VIC
Master of Statistics,Postgraduate,,Master's by coursework,The Australian National University,1 year,Statistics,Acton ACT
Master of Statistics,Postgraduate,,Master's by coursework,University of New South Wales,1.5 years,Statistics,Sydney NSW
Master of Statistics,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Statistics,Wollongong NSW
Master of Statistics,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Statistics,Wollongong NSW
Master of Strategic Communication,Postgraduate,,Master's by coursework,La Trobe University,1.5 years,Communication & Media Studies n.e.c.,BUNDOORA VIC
Master of Strategic Communication,Postgraduate,,Master's by coursework,University of Canberra,1 year,Communication & Media Studies n.e.c.,Bruce ACT
MASTER OF STRATEGIC FORESIGHT,Postgraduate,,Master's by coursework,Swinburne University of Technology,1 year,Business & Management n.e.c.,Hawthorn VIC
Master of Strategic Human Resource Management,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Human Resource Management,Wollongong NSW
Master of Strategic Human Resource Management - Dubai,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Human Resource Management,Dubai United Arab Emirates
Master of Strategic Management and Marketing,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Management & Commerce,Wollongong NSW
Master of Strategic Marketing,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Marketing,Wollongong NSW
Master of Strategic Marketing,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Marketing,Wollongong NSW
Master of Strategic Marketing - Dubai,Postgraduate,,Master's by coursework,University of Wollongong,1 year,Marketing,Dubai United Arab Emirates
Master of Strategic Organisational Development,Postgraduate,,Master's by coursework,University of New England,1.5 years,Business & Management,Distance Education
Master of Strategic Public Relations,Postgraduate,,Master's by coursework,The University of Sydney,1 year,Studies in Human Society n.e.c.,Camperdown NSW
Master of Strategic Studies,Postgraduate,,Master's by coursework,The Australian National University,1 year,Political Science,Acton ACT
Master of Studio Art,Postgraduate,,Master's by coursework,The University of Sydney,1 year,Fine Arts,Rozelle NSW
Master of Subsea Engineering,Postgraduate,,Master's by coursework,Curtin University of Technology,2 years,Mining Engineering,Bentley Campus WA
Master of Suicidology,Postgraduate,,Master's by coursework,Griffith University,1 year,Human Welfare Studies & Services n.e.c.,Mt Gravatt QLD
Master of Suicidology,Postgraduate,,Master's by coursework,Griffith University,1 year,Human Welfare Studies & Services n.e.c.,Distance Education
Master of Suicidology with Honours,Postgraduate,,Master's by coursework,Griffith University,1.5 years,Human Welfare Studies & Services n.e.c.,Mt Gravatt QLD
Master of Supply Chain Management,Postgraduate,,Master's by coursework,Australian Catholic University,1.5 years,Business & Management n.e.c.,NATIONAL NSW
Master of Supply Chain Management,Postgraduate,,Master's by coursework,The University of Melbourne,1 year,"Purchasing, Warehousing & Distribution",PARKVILLE VIC
Master of Supply Chain Management/Master of Business Administration,Postgraduate,,Master's by coursework,Australian Catholic University,3 years,"Business & Management n.e.c., Business Management",NORTH SYDNEY NSW
Master of Supply Chain Management/Master of Business Administration,Postgraduate,,Master's by coursework,Australian Catholic University,3 years,"Business & Management n.e.c., Business Management",MELBOURNE VIC
Master of Supply Chain Management/Master of Business Administration,Postgraduate,,Master's by coursework,Australian Catholic University,3 years,"Business & Management n.e.c., Business Management",BRISBANE QLD
Master of Supply Network Management,Postgraduate,,Master's by coursework,Griffith University,1.5 years,"Purchasing, Warehousing & Distribution",South Bank QLD
Master of Supply Network Management,Postgraduate,,Master's by coursework,Griffith University,1.5 years,"Purchasing, Warehousing & Distribution",Distance Education
Master of Surgery,Postgraduate,,Master's by coursework,Macquarie University,2 years,Surgery,Macquarie University NSW
Master of Surgery,Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Breast Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Cardiothoracic Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Colorectal),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Endocrine Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Endovascular Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Hand Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Head and Neck),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Neurosurgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Orthopaedic),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
DIPLOMA OF CREATIVE INDUSTRIES,Undergraduate,N/A,Diploma,Victoria University,1 year,Creative Arts n.e.c.,City Flinders VIC
DIPLOMA OF CREATIVE INDUSTRIES,Undergraduate,N/A,Diploma,Victoria University,1 year,Creative Arts n.e.c.,Footscray Nicholson VIC
Diploma of Criminology,Undergraduate,N/A,Post-course - legal,Bond University,1 year,Criminology,Bond University QLD
Diploma of Criminology and Criminal Justice,Undergraduate,N/A,Advanced Diploma,Griffith University,1 year,Criminology,Mt Gravatt QLD
Diploma of Design,Undergraduate,60.00,Diploma,University of Canberra,1 year,Graphic & Design Studies n.e.c.,Bruce ACT
DIPLOMA OF DESIGN (UNILINK),Undergraduate,N/A,Diploma,Swinburne University of Technology,1 year,Graphic & Design Studies,Hawthorn VIC
DIPLOMA OF EDUCATION STUDIES,Undergraduate,N/A,Diploma,Victoria University,1 year,Teacher Education: Secondary,Footscray Nicholson VIC
DIPLOMA OF ENGINEERING,Undergraduate,60.60,Diploma,Charles Darwin University,1 year,Engineering & Related Technologies n.e.c.,CASUARINA NT
DIPLOMA OF ENGINEERING,Undergraduate,60.60,Diploma,Charles Darwin University,1 year,Engineering & Related Technologies n.e.c.,DISTANCE EDUCATION
DIPLOMA OF ENGINEERING (UNILINK),Undergraduate,N/A,Diploma,Swinburne University of Technology,1 year,Engineering & Related Technologies,Hawthorn VIC
Diploma of Engineering and Spatial Science Foundations,Undergraduate,N/A,Advanced Diploma,University of Southern Queensland,1 year,Other Engineering & Related Technologies,DISTANCE EDUCATION
Diploma of Fine Arts and Design (F2U),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Fine Arts,Hobart TAS
Diploma of General Studies,Undergraduate,N/A,Diploma,Charles Sturt University,1 year,Other Education ,Bathurst NSW
Diploma of General Studies,Undergraduate,N/A,Diploma,Charles Sturt University,1 year,Other Education ,Wagga Wagga NSW
Diploma of General Studies,Undergraduate,N/A,Diploma,Charles Sturt University,1 year,Other Education ,Albury-Wodonga NSW
Diploma of General Studies,Undergraduate,N/A,Diploma,Charles Sturt University,1 year,Other Education ,Distance Education
Diploma of Health Science,Undergraduate,N/A,Diploma,James Cook University,1 year,Other Health,Townsville QLD
Diploma of Health Science,Undergraduate,N/A,Diploma,James Cook University,1 year,Other Health,Cairns QLD
DIPLOMA OF HOSPITALITY (CULINARY MANAGEMENT),Undergraduate,N/A,Diploma,Victoria University,1 year,Hospitality Management,Footscray Park VIC
DIPLOMA OF HOSPITALITY (CULINARY MANAGEMENT),Undergraduate,N/A,Diploma,Victoria University,1 year,Hospitality Management,Footscray Nicholson VIC
Diploma of Information Technology,Undergraduate,N/A,Advanced Diploma,Federation University Australia,1 year,Information Technology n.e.c.,Mt Helen VIC
Diploma of Information Technology,Undergraduate,50.00,Diploma,James Cook University,1 year,Information Systems,Townsville QLD
Diploma of Information Technology,Undergraduate,50.00,Diploma,James Cook University,1 year,Information Systems,Cairns QLD
Diploma of Information Technology,Undergraduate,60.00,Diploma,University of Canberra,1 year,Information Systems n.e.c.,Bruce ACT
DIPLOMA OF INFORMATION TECHNOLOGY,Undergraduate,N/A,Diploma,Victoria University,1 year,Information Systems,St Albans VIC
DIPLOMA OF INFORMATION TECHNOLOGY,Undergraduate,N/A,Diploma,Victoria University,1 year,Information Systems,City Flinders VIC
DIPLOMA OF INFORMATION TECHNOLOGY,Undergraduate,N/A,Diploma,Victoria University,1 year,Information Systems,Footscray Nicholson VIC
DIPLOMA OF INFORMATION TECHNOLOGY,Undergraduate,N/A,Diploma,Victoria University,1 year,Information Systems,Werribee VIC
DIPLOMA OF INFORMATION TECHNOLOGY,Undergraduate,N/A,Diploma,Victoria University,1 year,Information Systems,CITY QUEEN STREET VIC
Diploma of Information Technology (Extended),Undergraduate,60.00,Diploma,University of Canberra,1.5 years,Information Systems n.e.c.,Bruce ACT
DIPLOMA OF INFORMATION TECHNOLOGY (UNILINK),Undergraduate,N/A,Diploma,Swinburne University of Technology,1 year,Information Technology,Hawthorn VIC
Diploma of International Studies,Undergraduate,60.00,Diploma,University of Canberra,1 year,Society & Culture n.e.c.,Bruce ACT
Diploma of International Studies (Extended),Undergraduate,60.00,Diploma,University of Canberra,1.5 years,Society & Culture n.e.c.,Bruce ACT
Diploma of International Studies (R2G),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Launceston TAS
Diploma of International Studies (R2G),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Burnie TAS
Diploma of International Studies (R2G),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Hobart TAS
Diploma of Introductory Engineering Studies,Undergraduate,70.00,Diploma,James Cook University,1 year,Engineering & Related Technologies n.e.c.,Townsville QLD
Diploma of Introductory Engineering Studies,Undergraduate,70.00,Diploma,James Cook University,1 year,Engineering & Related Technologies n.e.c.,Cairns QLD
DIPLOMA OF LANGUAGE,Undergraduate,N/A,Post-course - legal,Deakin University,1 year,Language & Literature,GEELONG VIC
DIPLOMA OF LANGUAGE,Undergraduate,N/A,Post-course - legal,Deakin University,1 year,Language & Literature,BURWOOD VIC
DIPLOMA OF LANGUAGE,Undergraduate,N/A,Post-course - legal,Deakin University,1 year,Language & Literature,DISTANCE EDUCATION
DIPLOMA OF LANGUAGE,Undergraduate,N/A,Post-course - legal,Deakin University,1 year,Language & Literature,DISTANCE EDUCATION
Diploma of Language Studies,Undergraduate,N/A,Advanced Diploma,The University of Sydney,1 year,Language & Literature n.e.c.,Camperdown NSW
Diploma of Language Studies (Honours),Undergraduate,N/A,Advanced Diploma,The University of Sydney,1 year,Language & Literature n.e.c.,Camperdown NSW
DIPLOMA OF LANGUAGES,Undergraduate,66.20,Diploma,Charles Darwin University,1 year,Language & Literature n.e.c.,CASUARINA NT
Diploma of Languages,Undergraduate,N/A,Diploma,Griffith University,1 year,Language & Literature,Nathan QLD
Diploma of Languages,Undergraduate,N/A,Diploma,Griffith University,1 year,Language & Literature,Gold Coast QLD
Diploma of Languages,Undergraduate,N/A,Advanced Diploma,Macquarie University,1 year,Language & Literature,Macquarie University NSW
Diploma of Languages,Undergraduate,N/A,Diploma,RMIT University,1 year,Language & Literature n.e.c.,City Campus VIC
Diploma of Languages,Undergraduate,N/A,Diploma,The Australian National University,0.5 years,Language & Literature,Acton ACT
Diploma of Languages (R2E),Undergraduate,N/A,Advanced Diploma,University of Tasmania,3 years,Language & Literature n.e.c.,Launceston TAS
Diploma of Languages (R2E),Undergraduate,N/A,Advanced Diploma,University of Tasmania,3 years,Language & Literature n.e.c.,Hobart TAS
Diploma of Marine Engineering (Watchkeeper) (J1W),Undergraduate,N/A,Diploma,University of Tasmania,0.5 years,Maritime Engineering,Launceston TAS
Diploma of Marine Surveying (J1C),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Maritime Engineering & Technology n.e.c.,Launceston TAS
Diploma of Maritime and Logistics Management (J1B),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Business & Management n.e.c.,Launceston TAS
Diploma of Maritime and Logistics Management (J1B),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Business & Management n.e.c.,Distance Education
Diploma of Modern Greek Language,Undergraduate,N/A,Diploma,The University of Notre Dame Australia,1 year,Southern European Languages,"MOUAT STREET, FREMANTLE WA"
Diploma of Music,Undergraduate,N/A,Diploma,The University of Sydney,2 years,Music,Sydney NSW
Diploma of Music (F2W),Undergraduate,65.00,Diploma,University of Tasmania,1 year,Music,Hobart TAS
Diploma of Music Performance (F2V),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Music,Hobart TAS
Diploma of Nautical Science (Deck Watchkeeper) (J1T),Undergraduate,N/A,Diploma,University of Tasmania,3 years,Marine Craft Operation,Launceston TAS
DIPLOMA OF NETWORK ENGINEERING,Undergraduate,64.85,Diploma,Charles Darwin University,1 year,Engineering & Related Technologies n.e.c.,CASUARINA NT
DIPLOMA OF NETWORK ENGINEERING,Undergraduate,64.85,Diploma,Charles Darwin University,1 year,Engineering & Related Technologies n.e.c.,DISTANCE EDUCATION
Diploma of Pastoral Studies,Undergraduate,N/A,Diploma,The University of Notre Dame Australia,1 year,Religious Studies,"MOUAT STREET, FREMANTLE WA"
Diploma of Policing Investigations,Undergraduate,N/A,Advanced Diploma,Charles Sturt University,1 year,Police Studies,Distance Education
Diploma of Public Policy (R2F),Undergraduate,N/A,Diploma,University of Tasmania,1.5 years,Policy Studies,Launceston TAS
Diploma of Public Policy (R2F),Undergraduate,N/A,Diploma,University of Tasmania,1.5 years,Policy Studies,Hobart TAS
DIPLOMA OF SCIENCE,Undergraduate,60.50,Diploma,Charles Darwin University,1 year,Natural & Physical Sciences n.e.c.,CASUARINA NT
DIPLOMA OF SCIENCE,Undergraduate,60.50,Diploma,Charles Darwin University,1 year,Natural & Physical Sciences n.e.c.,DISTANCE EDUCATION
Diploma of Science,Undergraduate,50.00,Diploma,James Cook University,1 year,Natural & Physical Sciences n.e.c.,Townsville QLD
Diploma of Science,Undergraduate,50.00,Diploma,James Cook University,1 year,Natural & Physical Sciences n.e.c.,Cairns QLD
Diploma of Science,Undergraduate,60.00,Diploma,University of Canberra,1 year,Natural & Physical Sciences n.e.c.,Bruce ACT
Diploma of Science,Undergraduate,,Advanced Diploma,University of Southern Queensland,1 year,Natural & Physical Sciences n.e.c.,TOOWOOMBA QLD
Diploma of Science,Undergraduate,,Advanced Diploma,University of Southern Queensland,1 year,Natural & Physical Sciences n.e.c.,DISTANCE EDUCATION
Diploma of Science Foundations,Undergraduate,N/A,Advanced Diploma,University of Southern Queensland,1 year,Natural & Physical Sciences n.e.c.,DISTANCE EDUCATION
Diploma of Social Science (Honours),Undergraduate,N/A,Advanced Diploma,The University of Sydney,1 year,Society & Culture,Camperdown NSW
Diploma of Social Studies Foundations,Undergraduate,N/A,Advanced Diploma,University of Southern Queensland,1 year,Studies in Human Society n.e.c.,DISTANCE EDUCATION
Diploma of Sport Management (Surfing Studies),Undergraduate,68.00,Diploma,Southern Cross University,1 year,Business & Management n.e.c.,Gold Coast QLD
Diploma of Sport Management (Surfing Studies),Undergraduate,68.00,Diploma,Southern Cross University,1 year,Business & Management n.e.c.,Distance Education
Diploma of Sports Management,Undergraduate,N/A,Post-course - legal,Bond University,1 year,Sport & Recreation n.e.c.,Bond University QLD
Diploma of Tertiary Studies,Undergraduate,N/A,Advanced Diploma,Monash University,1 year,Education n.e.c.,PENINSULA VIC
Diploma of Tertiary Studies,Undergraduate,N/A,Advanced Diploma,Monash University,1 year,Education n.e.c.,BERWICK VIC
Diploma of Theology,Undergraduate,N/A,Diploma,The University of Notre Dame Australia,1 year,Religious Studies,"MOUAT STREET, FREMANTLE WA"
Diploma of University Studies (Arts) (11A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Burnie TAS
Diploma of University Studies (Arts) (11A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Hobart TAS
Diploma of University Studies (Arts) (11A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Launceston TAS
Diploma of University Studies (Arts) (11A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Society & Culture n.e.c.,Distance Education
Diploma of University Studies (Education) (41A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Burnie TAS
Diploma of University Studies (Education) (41A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Hobart TAS
Diploma of University Studies (Education) (41A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Launceston TAS
Diploma of University Studies (Education) (41A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Distance Education
Diploma of University Studies (Science) (71A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Burnie TAS
Diploma of University Studies (Science) (71A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Hobart TAS
Diploma of University Studies (Science) (71A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Launceston TAS
Diploma of University Studies (Science) (71A),Undergraduate,N/A,Diploma,University of Tasmania,1 year,Education n.e.c.,Distance Education
Diploma Science,Undergraduate,N/A,Diploma,The University of Queensland,1 year,Natural & Physical Sciences,STLUCIA QLD
Diploma Science (Biology),Undergraduate,N/A,Diploma,The University of Queensland,1 year,Biological Sciences,STLUCIA QLD
Diploma Science (Chemistry),Undergraduate,N/A,Diploma,The University of Queensland,1 year,Chemical Sciences,STLUCIA QLD
Diploma Science (Computer Science),Undergraduate,N/A,Diploma,The University of Queensland,1 year,Computer Science,STLUCIA QLD
Diploma Science (Food Science and Nutrition),Undergraduate,N/A,Diploma,The University of Queensland,1 year,Food Science & Biotechnology,STLUCIA QLD
Master of Surgery (Otorhinolaryngology),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Paediatric Surgery),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Plastic/Reconstruct),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
Master of Surgery (Surgical Oncology),Postgraduate,,Master's by coursework,The University of Sydney,1 year,Surgery,Camperdown NSW
